"currency","nace_r2","geo","time","values"
"MIO_EUR","A","BG",2013,NA
"MIO_EUR","A","BG3",2013,NA
"MIO_EUR","A","BG31",2013,NA
"MIO_EUR","A","BG311",2013,NA
"MIO_EUR","A","BG312",2013,NA
"MIO_EUR","A","BG313",2013,NA
"MIO_EUR","A","BG314",2013,NA
"MIO_EUR","A","BG315",2013,NA
"MIO_EUR","A","BG32",2013,NA
"MIO_EUR","A","BG321",2013,NA
"MIO_EUR","A","BG322",2013,NA
"MIO_EUR","A","BG323",2013,NA
"MIO_EUR","A","BG324",2013,NA
"MIO_EUR","A","BG325",2013,NA
"MIO_EUR","A","BG33",2013,NA
"MIO_EUR","A","BG331",2013,NA
"MIO_EUR","A","BG332",2013,NA
"MIO_EUR","A","BG333",2013,NA
"MIO_EUR","A","BG334",2013,NA
"MIO_EUR","A","BG34",2013,NA
"MIO_EUR","A","BG341",2013,NA
"MIO_EUR","A","BG342",2013,NA
"MIO_EUR","A","BG343",2013,NA
"MIO_EUR","A","BG344",2013,NA
"MIO_EUR","A","BG4",2013,NA
"MIO_EUR","A","BG41",2013,NA
"MIO_EUR","A","BG411",2013,NA
"MIO_EUR","A","BG412",2013,NA
"MIO_EUR","A","BG413",2013,NA
"MIO_EUR","A","BG414",2013,NA
"MIO_EUR","A","BG415",2013,NA
"MIO_EUR","A","BG42",2013,NA
"MIO_EUR","A","BG421",2013,NA
"MIO_EUR","A","BG422",2013,NA
"MIO_EUR","A","BG423",2013,NA
"MIO_EUR","A","BG424",2013,NA
"MIO_EUR","A","BG425",2013,NA
"MIO_EUR","B-E","BG",2013,NA
"MIO_EUR","B-E","BG3",2013,NA
"MIO_EUR","B-E","BG31",2013,NA
"MIO_EUR","B-E","BG311",2013,NA
"MIO_EUR","B-E","BG312",2013,NA
"MIO_EUR","B-E","BG313",2013,NA
"MIO_EUR","B-E","BG314",2013,NA
"MIO_EUR","B-E","BG315",2013,NA
"MIO_EUR","B-E","BG32",2013,NA
"MIO_EUR","B-E","BG321",2013,NA
"MIO_EUR","B-E","BG322",2013,NA
"MIO_EUR","B-E","BG323",2013,NA
"MIO_EUR","B-E","BG324",2013,NA
"MIO_EUR","B-E","BG325",2013,NA
"MIO_EUR","B-E","BG33",2013,NA
"MIO_EUR","B-E","BG331",2013,NA
"MIO_EUR","B-E","BG332",2013,NA
