"unit","sex","age","isco08","geo","time","values"
"THS","F","Y15-19","NRP","BG","2015Q2",NA
"THS","F","Y15-19","OC0","BG","2015Q2",NA
"THS","F","Y15-19","OC1","BG","2015Q2",NA
"THS","F","Y15-19","OC2","BG","2015Q2",NA
"THS","F","Y15-19","OC3","BG","2015Q2",NA
"THS","F","Y15-19","OC4","BG","2015Q2",NA
"THS","F","Y15-19","OC5","BG","2015Q2",NA
"THS","F","Y15-19","OC6","BG","2015Q2",NA
"THS","F","Y15-19","OC7","BG","2015Q2",NA
"THS","F","Y15-19","OC8","BG","2015Q2",NA
"THS","F","Y15-19","OC9","BG","2015Q2",NA
"THS","F","Y15-19","TOTAL","BG","2015Q2",NA
"THS","F","Y15-24","NRP","BG","2015Q2",NA
"THS","F","Y15-24","OC0","BG","2015Q2",NA
"THS","F","Y15-24","OC1","BG","2015Q2",NA
"THS","F","Y15-24","OC2","BG","2015Q2",NA
"THS","F","Y15-24","OC3","BG","2015Q2",NA
"THS","F","Y15-24","OC4","BG","2015Q2",NA
"THS","F","Y15-24","OC5","BG","2015Q2",NA
"THS","F","Y15-24","OC6","BG","2015Q2",NA
"THS","F","Y15-24","OC7","BG","2015Q2",NA
"THS","F","Y15-24","OC8","BG","2015Q2",NA
"THS","F","Y15-24","OC9","BG","2015Q2",NA
"THS","F","Y15-24","TOTAL","BG","2015Q2",NA
"THS","F","Y15-29","NRP","BG","2015Q2",NA
"THS","F","Y15-29","OC0","BG","2015Q2",NA
"THS","F","Y15-29","OC1","BG","2015Q2",NA
"THS","F","Y15-29","OC2","BG","2015Q2",NA
"THS","F","Y15-29","OC3","BG","2015Q2",NA
"THS","F","Y15-29","OC4","BG","2015Q2",NA
"THS","F","Y15-29","OC5","BG","2015Q2",NA
"THS","F","Y15-29","OC6","BG","2015Q2",NA
"THS","F","Y15-29","OC7","BG","2015Q2",NA
"THS","F","Y15-29","OC8","BG","2015Q2",NA
"THS","F","Y15-29","OC9","BG","2015Q2",NA
"THS","F","Y15-29","TOTAL","BG","2015Q2",NA
"THS","F","Y15-39","NRP","BG","2015Q2",NA
"THS","F","Y15-39","OC0","BG","2015Q2",NA
"THS","F","Y15-39","OC1","BG","2015Q2",NA
