"unit","sex","age","nace_r2","geo","time","values"
"THS","F","Y15-19","A","BG","2015Q2",NA
"THS","F","Y15-19","C","BG","2015Q2",NA
"THS","F","Y15-19","F","BG","2015Q2",NA
"THS","F","Y15-19","G","BG","2015Q2",NA
"THS","F","Y15-19","H","BG","2015Q2",NA
"THS","F","Y15-19","I","BG","2015Q2",NA
"THS","F","Y15-19","J","BG","2015Q2",NA
"THS","F","Y15-19","M","BG","2015Q2",NA
"THS","F","Y15-19","N","BG","2015Q2",NA
"THS","F","Y15-19","O","BG","2015Q2",NA
"THS","F","Y15-19","P","BG","2015Q2",NA
"THS","F","Y15-19","Q","BG","2015Q2",NA
"THS","F","Y15-19","R","BG","2015Q2",NA
"THS","F","Y15-19","S","BG","2015Q2",NA
"THS","F","Y15-19","T","BG","2015Q2",NA
"THS","F","Y15-19","TOTAL","BG","2015Q2",NA
"THS","F","Y15-24","A","BG","2015Q2",NA
"THS","F","Y15-24","C","BG","2015Q2",NA
"THS","F","Y15-24","F","BG","2015Q2",NA
"THS","F","Y15-24","G","BG","2015Q2",NA
"THS","F","Y15-24","H","BG","2015Q2",NA
"THS","F","Y15-24","I","BG","2015Q2",NA
"THS","F","Y15-24","J","BG","2015Q2",NA
"THS","F","Y15-24","K","BG","2015Q2",NA
"THS","F","Y15-24","L","BG","2015Q2",NA
"THS","F","Y15-24","M","BG","2015Q2",NA
"THS","F","Y15-24","N","BG","2015Q2",NA
"THS","F","Y15-24","O","BG","2015Q2",NA
"THS","F","Y15-24","P","BG","2015Q2",NA
"THS","F","Y15-24","Q","BG","2015Q2",NA
"THS","F","Y15-24","R","BG","2015Q2",NA
"THS","F","Y15-24","S","BG","2015Q2",NA
"THS","F","Y15-24","T","BG","2015Q2",NA
"THS","F","Y15-24","TOTAL","BG","2015Q2",NA
"THS","F","Y15-29","A","BG","2015Q2",NA
"THS","F","Y15-29","C","BG","2015Q2",NA
"THS","F","Y15-29","D","BG","2015Q2",NA
"THS","F","Y15-29","E","BG","2015Q2",NA
"THS","F","Y15-29","F","BG","2015Q2",NA
"THS","F","Y15-29","G","BG","2015Q2",NA
"THS","F","Y15-29","H","BG","2015Q2",NA
"THS","F","Y15-29","I","BG","2015Q2",NA
"THS","F","Y15-29","J","BG","2015Q2",NA
"THS","F","Y15-29","K","BG","2015Q2",NA
"THS","F","Y15-29","L","BG","2015Q2",NA
"THS","F","Y15-29","M","BG","2015Q2",NA
"THS","F","Y15-29","N","BG","2015Q2",NA
"THS","F","Y15-29","O","BG","2015Q2",NA
"THS","F","Y15-29","P","BG","2015Q2",NA
"THS","F","Y15-29","Q","BG","2015Q2",NA
"THS","F","Y15-29","R","BG","2015Q2",NA
