"unit","sex","age","nace_r1","geo","time","values"
"THS","F","Y15-19","A","BG","2008Q4",NA
"THS","F","Y15-19","A_B","BG","2008Q4",NA
"THS","F","Y15-19","C-F","BG","2008Q4",NA
"THS","F","Y15-19","C-K","BG","2008Q4",NA
"THS","F","Y15-19","D","BG","2008Q4",NA
"THS","F","Y15-19","E","BG","2008Q4",NA
"THS","F","Y15-19","F","BG","2008Q4",NA
"THS","F","Y15-19","G","BG","2008Q4",NA
"THS","F","Y15-19","G-K","BG","2008Q4",NA
"THS","F","Y15-19","G-Q","BG","2008Q4",NA
"THS","F","Y15-19","H","BG","2008Q4",NA
"THS","F","Y15-19","I","BG","2008Q4",NA
"THS","F","Y15-19","J","BG","2008Q4",NA
"THS","F","Y15-19","K","BG","2008Q4",NA
"THS","F","Y15-19","L","BG","2008Q4",NA
"THS","F","Y15-19","M","BG","2008Q4",NA
"THS","F","Y15-19","M-Q","BG","2008Q4",NA
"THS","F","Y15-19","N","BG","2008Q4",NA
"THS","F","Y15-19","NRP","BG","2008Q4",NA
"THS","F","Y15-19","O","BG","2008Q4",NA
"THS","F","Y15-19","P","BG","2008Q4",NA
"THS","F","Y15-19","TOTAL","BG","2008Q4",NA
"THS","F","Y15-24","A","BG","2008Q4",NA
"THS","F","Y15-24","A_B","BG","2008Q4",NA
"THS","F","Y15-24","C-F","BG","2008Q4",NA
"THS","F","Y15-24","C-K","BG","2008Q4",NA
"THS","F","Y15-24","D","BG","2008Q4",NA
"THS","F","Y15-24","E","BG","2008Q4",NA
"THS","F","Y15-24","F","BG","2008Q4",NA
"THS","F","Y15-24","G","BG","2008Q4",NA
"THS","F","Y15-24","G-K","BG","2008Q4",NA
"THS","F","Y15-24","G-Q","BG","2008Q4",NA
"THS","F","Y15-24","H","BG","2008Q4",NA
"THS","F","Y15-24","I","BG","2008Q4",NA
"THS","F","Y15-24","J","BG","2008Q4",NA
"THS","F","Y15-24","K","BG","2008Q4",NA
"THS","F","Y15-24","L","BG","2008Q4",NA
"THS","F","Y15-24","M","BG","2008Q4",NA
"THS","F","Y15-24","M-Q","BG","2008Q4",NA
"THS","F","Y15-24","N","BG","2008Q4",NA
"THS","F","Y15-24","NRP","BG","2008Q4",7.8
"THS","F","Y15-24","O","BG","2008Q4",NA
