"unit","sex","age","isco08","geo","time","values"
"THS","F","Y15-19","NRP","BG","2015Q2",NA
"THS","F","Y15-19","OC2","BG","2015Q2",NA
"THS","F","Y15-19","OC3","BG","2015Q2",NA
"THS","F","Y15-19","OC4","BG","2015Q2",NA
"THS","F","Y15-19","OC5","BG","2015Q2",NA
"THS","F","Y15-19","OC6","BG","2015Q2",NA
"THS","F","Y15-19","OC7","BG","2015Q2",NA
"THS","F","Y15-19","OC8","BG","2015Q2",NA
"THS","F","Y15-19","OC9","BG","2015Q2",NA
"THS","F","Y15-19","TOTAL","BG","2015Q2",NA
"THS","F","Y15-24","NRP","BG","2015Q2",NA
"THS","F","Y15-24","OC0","BG","2015Q2",NA
"THS","F","Y15-24","OC1","BG","2015Q2",NA
"THS","F","Y15-24","OC2","BG","2015Q2",NA
"THS","F","Y15-24","OC3","BG","2015Q2",NA
"THS","F","Y15-24","OC4","BG","2015Q2",NA
"THS","F","Y15-24","OC5","BG","2015Q2",NA
"THS","F","Y15-24","OC6","BG","2015Q2",NA
"THS","F","Y15-24","OC7","BG","2015Q2",NA
"THS","F","Y15-24","OC8","BG","2015Q2",NA
"THS","F","Y15-24","OC9","BG","2015Q2",NA
"THS","F","Y15-24","TOTAL","BG","2015Q2",NA
"THS","F","Y15-29","NRP","BG","2015Q2",NA
"THS","F","Y15-29","OC0","BG","2015Q2",NA
"THS","F","Y15-29","OC1","BG","2015Q2",NA
"THS","F","Y15-29","OC2","BG","2015Q2",NA
"THS","F","Y15-29","OC3","BG","2015Q2",NA
"THS","F","Y15-29","OC4","BG","2015Q2",NA
"THS","F","Y15-29","OC5","BG","2015Q2",NA
"THS","F","Y15-29","OC6","BG","2015Q2",NA
"THS","F","Y15-29","OC7","BG","2015Q2",NA
"THS","F","Y15-29","OC8","BG","2015Q2",NA
"THS","F","Y15-29","OC9","BG","2015Q2",NA
"THS","F","Y15-29","TOTAL","BG","2015Q2",NA
"THS","F","Y15-39","NRP","BG","2015Q2",NA
"THS","F","Y15-39","OC0","BG","2015Q2",NA
"THS","F","Y15-39","OC1","BG","2015Q2",NA
"THS","F","Y15-39","OC2","BG","2015Q2",NA
"THS","F","Y15-39","OC3","BG","2015Q2",NA
"THS","F","Y15-39","OC4","BG","2015Q2",NA
"THS","F","Y15-39","OC5","BG","2015Q2",NA
"THS","F","Y15-39","OC6","BG","2015Q2",NA
"THS","F","Y15-39","OC7","BG","2015Q2",NA
"THS","F","Y15-39","OC8","BG","2015Q2",NA
"THS","F","Y15-39","OC9","BG","2015Q2",NA
"THS","F","Y15-39","TOTAL","BG","2015Q2",NA
"THS","F","Y15-59","NRP","BG","2015Q2",NA
"THS","F","Y15-59","OC0","BG","2015Q2",NA
"THS","F","Y15-59","OC1","BG","2015Q2",NA
"THS","F","Y15-59","OC2","BG","2015Q2",NA
"THS","F","Y15-59","OC3","BG","2015Q2",NA
"THS","F","Y15-59","OC4","BG","2015Q2",NA
"THS","F","Y15-59","OC5","BG","2015Q2",NA
"THS","F","Y15-59","OC6","BG","2015Q2",NA
"THS","F","Y15-59","OC7","BG","2015Q2",NA
"THS","F","Y15-59","OC8","BG","2015Q2",NA
"THS","F","Y15-59","OC9","BG","2015Q2",NA
"THS","F","Y15-59","TOTAL","BG","2015Q2",NA
"THS","F","Y15-64","NRP","BG","2015Q2",NA
"THS","F","Y15-64","OC0","BG","2015Q2",NA
"THS","F","Y15-64","OC1","BG","2015Q2",NA
"THS","F","Y15-64","OC2","BG","2015Q2",NA
"THS","F","Y15-64","OC3","BG","2015Q2",NA
"THS","F","Y15-64","OC4","BG","2015Q2",NA
"THS","F","Y15-64","OC5","BG","2015Q2",NA
"THS","F","Y15-64","OC6","BG","2015Q2",NA
"THS","F","Y15-64","OC7","BG","2015Q2",NA
"THS","F","Y15-64","OC8","BG","2015Q2",NA
"THS","F","Y15-64","OC9","BG","2015Q2",NA
"THS","F","Y15-64","TOTAL","BG","2015Q2",NA
"THS","F","Y15-74","NRP","BG","2015Q2",NA
"THS","F","Y15-74","OC0","BG","2015Q2",NA
"THS","F","Y15-74","OC1","BG","2015Q2",NA
"THS","F","Y15-74","OC2","BG","2015Q2",NA
"THS","F","Y15-74","OC3","BG","2015Q2",NA
"THS","F","Y15-74","OC4","BG","2015Q2",NA
"THS","F","Y15-74","OC5","BG","2015Q2",NA
"THS","F","Y15-74","OC6","BG","2015Q2",NA
"THS","F","Y15-74","OC7","BG","2015Q2",NA
