sektori,naeti,year,month
obshto,1934335,2000,1
selsko,78301,2000,1
dobiwna,42822,2000,1
prerabodwashta,592231,2000,1
energiq i woda,57973,2000,1
stroitelstwo,103577,2000,1
tyrgowiq,188465,2000,1
hoteli,43849,2000,1
transport,170642,2000,1
finansi,29017,2000,1
imoti,85526,2000,1
dyrvawnouprawlenie,87971,2000,1
obrazowanie,223610,2000,1
zdraweopazwane,156296,2000,1
drugi,74055,2000,1
obshto,1923257,2000,2
selsko,80655,2000,2
dobiwna,42494,2000,2
prerabodwashta,587971,2000,2
energiq i woda,58167,2000,2
stroitelstwo,101891,2000,2
tyrgowiq,187582,2000,2
hoteli,43512,2000,2
transport,169971,2000,2
finansi,29149,2000,2
imoti,84559,2000,2
dyrvawnouprawlenie,87845,2000,2
obrazowanie,223214,2000,2
zdraweopazwane,154128,2000,2
drugi,72119,2000,2
obshto,1920010,2000,3
selsko,87628,2000,3
dobiwna,42339,2000,3
prerabodwashta,582314,2000,3
energiq i woda,58219,2000,3
stroitelstwo,102438,2000,3
tyrgowiq,187927,2000,3
hoteli,42746,2000,3
transport,168387,2000,3
finansi,28976,2000,3
imoti,85978,2000,3
dyrvawnouprawlenie,87970,2000,3
obrazowanie,221787,2000,3
zdraweopazwane,153154,2000,3
drugi,70147,2000,3
obshto,1932633,2000,4
selsko,98281,2000,4
dobiwna,42340,2000,4
prerabodwashta,585087,2000,4
energiq i woda,58232,2000,4
stroitelstwo,102777,2000,4
tyrgowiq,192383,2000,4
hoteli,38472,2000,4
transport,169796,2000,4
finansi,28608,2000,4
imoti,89891,2000,4
dyrvawnouprawlenie,86804,2000,4
obrazowanie,220530,2000,4
zdraweopazwane,152332,2000,4
drugi,67100,2000,4
obshto,1934915,2000,5
selsko,102019,2000,5
dobiwna,42203,2000,5
prerabodwashta,589131,2000,5
energiq i woda,57688,2000,5
stroitelstwo,102391,2000,5
tyrgowiq,192896,2000,5
hoteli,42774,2000,5
transport,169821,2000,5
finansi,28491,2000,5
imoti,89534,2000,5
dyrvawnouprawlenie,86203,2000,5
obrazowanie,219473,2000,5
zdraweopazwane,151568,2000,5
drugi,60723,2000,5
obshto,1942462,2000,6
selsko,106444,2000,6
dobiwna,40922,2000,6
prerabodwashta,587419,2000,6
energiq i woda,59194,2000,6
stroitelstwo,101866,2000,6
tyrgowiq,196386,2000,6
hoteli,54920,2000,6
transport,169430,2000,6
finansi,28469,2000,6
imoti,89380,2000,6
dyrvawnouprawlenie,86673,2000,6
obrazowanie,216064,2000,6
zdraweopazwane,145453,2000,6
drugi,59842,2000,6
obshto,1934792,2000,7
selsko,105588,2000,7
dobiwna,38492,2000,7
prerabodwashta,575256,2000,7
energiq i woda,61004,2000,7
stroitelstwo,101444,2000,7
tyrgowiq,212662,2000,7
hoteli,68691,2000,7
transport,169628,2000,7
finansi,28349,2000,7
imoti,95073,2000,7
dyrvawnouprawlenie,87222,2000,7
obrazowanie,209774,2000,7
zdraweopazwane,122269,2000,7
drugi,59340,2000,7
obshto,1929736,2000,8
selsko,101861,2000,8
dobiwna,38236,2000,8
prerabodwashta,571293,2000,8
energiq i woda,61052,2000,8
stroitelstwo,102475,2000,8
tyrgowiq,218104,2000,8
hoteli,67570,2000,8
transport,168897,2000,8
finansi,28068,2000,8
imoti,94558,2000,8
dyrvawnouprawlenie,87631,2000,8
obrazowanie,207149,2000,8
zdraweopazwane,122329,2000,8
drugi,60513,2000,8
obshto,1923424,2000,9
selsko,102975,2000,9
dobiwna,37670,2000,9
prerabodwashta,566866,2000,9
energiq i woda,61021,2000,9
stroitelstwo,102248,2000,9
tyrgowiq,221209,2000,9
hoteli,63622,2000,9
transport,167127,2000,9
finansi,28024,2000,9
imoti,93985,2000,9
dyrvawnouprawlenie,88068,2000,9
obrazowanie,209286,2000,9
zdraweopazwane,122559,2000,9
drugi,58764,2000,9
obshto,1901373,2000,10
selsko,95347,2000,10
dobiwna,37194,2000,10
prerabodwashta,560895,2000,10
energiq i woda,60816,2000,10
stroitelstwo,102753,2000,10
tyrgowiq,219055,2000,10
hoteli,58652,2000,10
transport,162004,2000,10
finansi,27811,2000,10
imoti,92242,2000,10
dyrvawnouprawlenie,88923,2000,10
obrazowanie,208947,2000,10
