sektori,naeti,year,month
obshto,1934335,2000,1
obshto,1923257,2000,2
obshto,1920010,2000,3
obshto,1932633,2000,4
obshto,1934915,2000,5
obshto,1942462,2000,6
obshto,1934792,2000,7
obshto,1929736,2000,8
obshto,1923424,2000,9
obshto,1901373,2000,10
obshto,1882562,2000,11
obshto,1867701,2000,12
obshto,1859801,2001,1
obshto,1853911,2001,2
obshto,1859421,2001,3
obshto,1936101,2001,4
obshto,1951598,2001,5
obshto,1957874,2001,6
obshto,1956898,2001,7
obshto,1940798,2001,8
obshto,1937798,2001,9
obshto,1937008,2001,10
obshto,1909720,2001,11
obshto,1874537,2001,12
obshto,1904439,2002,1
obshto,1907412,2002,2
obshto,1911829,2002,3
obshto,1928135,2002,4
obshto,1934001,2002,5
obshto,1941057,2002,6
obshto,1969447,2002,7
obshto,1963176,2002,8
obshto,1964232,2002,9
obshto,1972368,2002,10
obshto,1978177,2002,11
obshto,1973357,2002,12
obshto,1966409,2003,1
obshto,2000342,2003,2
obshto,2018247,2003,3
obshto,2044893,2003,4
obshto,2057766,2003,5
obshto,2065991,2003,6
obshto,2137397,2003,7
obshto,2120412,2003,8
obshto,2107736,2003,9
obshto,2177785,2003,10
obshto,2148702,2003,11
obshto,2102561,2003,12
obshto,2095675,2004,1
obshto,2109524,2004,2
obshto,2124639,2004,3
obshto,2166242,2004,4
obshto,2173868,2004,5
obshto,2180858,2004,6
obshto,2257969,2004,7
obshto,2243242,2004,8
obshto,2226104,2004,9
obshto,2241607,2004,10
obshto,2221459,2004,11
obshto,2183464,2004,12
obshto,2191894,2005,1
obshto,2195119,2005,2
obshto,2205970,2005,3
obshto,2259663,2005,4
obshto,2263378,2005,5
obshto,2275258,2005,6
obshto,2350430,2005,7
obshto,2341150,2005,8
obshto,2330249,2005,9
obshto,2312621,2005,10
obshto,2303541,2005,11
obshto,2274631,2005,12
obshto,2239864,2006,1
obshto,2246053,2006,2
obshto,2263898,2006,3
obshto,2328772,2006,4
obshto,2349561,2006,5
obshto,2365344,2006,6
obshto,2408565,2006,7
obshto,2395432,2006,8
obshto,2373853,2006,9
obshto,2385030,2006,10
obshto,2367891,2006,11
obshto,2335545,2006,12
obshto,2347755,2007,1
obshto,2355835,2007,2
obshto,2379551,2007,3
obshto,2400343,2007,4
obshto,2417169,2007,5
obshto,2436369,2007,6
obshto,2451607,2007,7
obshto,2450865,2007,8
obshto,2429024,2007,9
obshto,2408166,2007,10
obshto,2406337,2007,11
obshto,2384903,2007,12
obshto,2455536,2008,1
obshto,2464259,2008,2
obshto,2478101,2008,3
obshto,2488316,2008,4
obshto,2503391,2008,5
obshto,2517729,2008,6
obshto,2621733,2008,7
obshto,2608601,2008,8
obshto,2578059,2008,9
obshto,2584129,2008,10
obshto,2551354,2008,11
obshto,2499126,2008,12
obshto,2502133,2009,1
obshto,2487997,2009,2
obshto,2472024,2009,3
obshto,2514441,2009,4
obshto,2514767,2009,5
obshto,2516415,2009,6
obshto,2512344,2009,7
obshto,2485137,2009,8
