"sektori","kod","naeti","year","quarter"
"Добивна промишленост","B",41752,2000,"Q1"
"Добив на въглища","B05",25351,2000,"Q1"
"Добив на метални руди","B07",8521,2000,"Q1"
"Добив на неметални материали и суровини","B08",6595,2000,"Q1"
"Преработваща промишленост","C",576279,2000,"Q1"
"Производство на хранителни продукти ","C10",64869,2000,"Q1"
"Производство на напитки","C11",19616,2000,"Q1"
"Производство на тютюневи изделия ","C12",13621,2000,"Q1"
"Производство на текстил и изделия от текстил, без  облекло","C13",25900,2000,"Q1"
"Производство на облекло","C14",108930,2000,"Q1"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",19847,2000,"Q1"
"Производство на дървен материал и изделия от него, без мебели","C16",13774,2000,"Q1"
"Производство на хартия, картон и изделия от хартия и картон","C17",14368,2000,"Q1"
"Печатна дейност и възпроизвеждане на записани носители","C18",4091,2000,"Q1"
"Производство на кокс и рафинирани нефтопродукти","C19",10585,2000,"Q1"
"Производство на химични продукти","C20",24423,2000,"Q1"
"Производство на лекарствени вещества и продукти","C21",8974,2000,"Q1"
"Производство на изделия от каучук и пластмаси","C22",15704,2000,"Q1"
"Производство на изделия от други неметални  минерални суровини","C23",25734,2000,"Q1"
"Производство на основни метали","C24",33768,2000,"Q1"
"Производство на метални изделия, без машини и оборудване ","C25",43231,2000,"Q1"
"Производство на компютърна  техника, електронни и оптични продукти","C26",14332,2000,"Q1"
"Производство на електрически съоръжения","C27",17776,2000,"Q1"
"Производство на машини и оборудване, с общо и специално предназначение","C28",43408,2000,"Q1"
"Производство на автомобили, ремаркета и полуремаркета","C29",3878,2000,"Q1"
"Производство на превозни средства, без автомобили","C30",3525,2000,"Q1"
"Производство на мебели","C31",14852,2000,"Q1"
"Производство, некласифицирано другаде ","C32",6623,2000,"Q1"
"Ремонт и инсталиране на машини и оборудване","C33",24450,2000,"Q1"
"Производство и разпределение на електрическа и топлоенергия и газ","D",39683,2000,"Q1"
"Събиране,пречистване и доставяне на води","Е36",18536,2000,"Q1"
"Продукти за междинно потребление","MIG_ING",194250,2000,"Q1"
"Енергийни продукти","MIG_NRG",95405,2000,"Q1"
"Инвестиционни продукти","MIG_CAG",115245,2000,"Q1"
