sektori,zaeti,swobodni,koef,year,month
dobiwna,27676,83,0.3,2006,1
dobiwna,27760,45,0.2,2006,2
dobiwna,28083,109,0.4,2006,3
dobiwna,27913,123,0.4,2006,4
dobiwna,28433,160,0.6,2007,1
dobiwna,28203,578,2,2007,2
dobiwna,27706,586,2.1,2007,3
dobiwna,27498,484,1.7,2007,4
dobiwna,28051,431,1.5,2008,1
dobiwna,28081,433,1.5,2008,2
dobiwna,28143,274,1,2008,3
dobiwna,27205,219,0.8,2008,4
drugi,107043,899,0.8,2006,1
drugi,111927,984,0.9,2006,2
drugi,110435,646,0.6,2006,3
drugi,97459,495,0.5,2006,4
drugi,98442,582,0.6,2007,1
drugi,103922,549,0.5,2007,2
drugi,105607,504,0.5,2007,3
drugi,101137,873,0.9,2007,4
drugi,104522,694,0.7,2008,1
drugi,103929,729,0.7,2008,2
drugi,102502,804,0.8,2008,3
drugi,102083,605,0.6,2008,4
dyrvawnouprawlenie,132688,5084,3.7,2006,1
dyrvawnouprawlenie,134125,4700,3.4,2006,2
dyrvawnouprawlenie,133919,4536,3.3,2006,3
dyrvawnouprawlenie,131184,4404,3.2,2006,4
dyrvawnouprawlenie,131282,4995,3.7,2007,1
dyrvawnouprawlenie,133254,4877,3.5,2007,2
dyrvawnouprawlenie,134803,4598,3.3,2007,3
dyrvawnouprawlenie,131525,5090,3.7,2007,4
dyrvawnouprawlenie,130748,5139,3.8,2008,1
dyrvawnouprawlenie,130894,4870,3.6,2008,2
dyrvawnouprawlenie,130688,4320,3.2,2008,3
dyrvawnouprawlenie,131878,4187,3.1,2008,4
energiq i woda,56511,341,0.6,2006,1
energiq i woda,55822,381,0.7,2006,2
energiq i woda,55644,301,0.5,2006,3
energiq i woda,54507,333,0.6,2006,4
energiq i woda,53121,516,1,2007,1
energiq i woda,53110,309,0.6,2007,2
energiq i woda,53495,576,1.1,2007,3
energiq i woda,53646,375,0.7,2007,4
energiq i woda,52723,388,0.7,2008,1
energiq i woda,52148,356,0.7,2008,2
energiq i woda,51096,357,0.7,2008,3
energiq i woda,51121,403,0.8,2008,4
finansi,34642,552,1.6,2006,1
finansi,34708,477,1.4,2006,2
finansi,35866,425,1.2,2006,3
finansi,38392,506,1.3,2006,4
finansi,39955,646,1.6,2007,1
finansi,42612,725,1.7,2007,2
finansi,45183,600,1.3,2007,3
finansi,46522,561,1.2,2007,4
finansi,46099,605,1.3,2008,1
finansi,48854,679,1.4,2008,2
finansi,51328,704,1.4,2008,3
finansi,51875,757,1.4,2008,4
hoteli,80436,1461,1.8,2006,1
hoteli,124325,666,0.5,2006,2
hoteli,113609,333,0.3,2006,3
hoteli,87490,444,0.5,2006,4
hoteli,94878,2073,2.1,2007,1
hoteli,121273,1270,1,2007,2
hoteli,112879,727,0.6,2007,3
hoteli,93778,470,0.5,2007,4
hoteli,97181,1090,1.1,2008,1
hoteli,126306,671,0.5,2008,2
hoteli,119447,833,0.7,2008,3
hoteli,102594,510,0.5,2008,4
imoti,144321,587,0.4,2006,1
imoti,147747,519,0.4,2006,2
imoti,148466,698,0.5,2006,3
imoti,150894,696,0.5,2006,4
imoti,159476,736,0.5,2007,1
imoti,167089,804,0.5,2007,2
imoti,168996,790,0.5,2007,3
imoti,164991,698,0.4,2007,4
imoti,171815,1088,0.6,2008,1
imoti,173532,999,0.6,2008,2
imoti,175724,857,0.5,2008,3
imoti,176037,528,0.3,2008,4
obrazowanie,193243,831,0.4,2006,1
obrazowanie,190967,930,0.5,2006,2
obrazowanie,188210,1007,0.5,2006,3
obrazowanie,188516,908,0.5,2006,4
obrazowanie,188587,876,0.5,2007,1
obrazowanie,185417,945,0.5,2007,2
obrazowanie,182361,991,0.5,2007,3
obrazowanie,181903,1264,0.7,2007,4
obrazowanie,183485,1004,0.5,2008,1
obrazowanie,178995,1594,0.9,2008,2
obrazowanie,171392,1227,0.7,2008,3
obrazowanie,172384,1111,0.6,2008,4
obshto,2209060,20959,0.9,2006,1
obshto,2307757,19070,0.8,2006,2
obshto,2314957,19841,0.8,2006,3
obshto,2275630,19186,0.8,2006,4
obshto,2321512,24772,1.1,2007,1
obshto,2377463,24617,1,2007,2
obshto,2371247,23921,1,2007,3
obshto,2329494,23646,1,2007,4
obshto,2390802,25106,1,2008,1
obshto,2443784,24446,1,2008,2
obshto,2435276,22869,0.9,2008,3
obshto,2376218,18781,0.8,2008,4
prerabodwashta,600037,4880,0.8,2006,1
prerabodwashta,609267,5075,0.8,2006,2
prerabodwashta,617025,5954,1,2006,3
prerabodwashta,623751,5603,0.9,2006,4
prerabodwashta,626581,6019,1,2007,1
prerabodwashta,620846,6595,1.1,2007,2
prerabodwashta,615409,7075,1.1,2007,3
prerabodwashta,603720,6431,1.1,2007,4
prerabodwashta,612535,6258,1,2008,1
prerabodwashta,613038,5918,1,2008,2
prerabodwashta,601624,5477,0.9,2008,3
prerabodwashta,585167,3767,0.6,2008,4
selsko,63951,963,1.5,2006,1
selsko,72901,806,1.1,2006,2
selsko,71299,763,1.1,2006,3
selsko,59909,808,1.3,2006,4
selsko,64342,621,1,2007,1
selsko,68662,370,0.5,2007,2
selsko,68112,394,0.6,2007,3
selsko,59732,335,0.6,2007,4
selsko,61706,376,0.6,2008,1
selsko,66964,288,0.4,2008,2
selsko,67553,266,0.4,2008,3
selsko,59177,230,0.4,2008,4
stroitelstwo,154402,525,0.3,2006,1
stroitelstwo,165032,541,0.3,2006,2
stroitelstwo,178250,504,0.3,2006,3
stroitelstwo,173544,358,0.2,2006,4
stroitelstwo,180462,1382,0.8,2007,1
stroitelstwo,187493,767,0.4,2007,2
stroitelstwo,189360,810,0.4,2007,3
stroitelstwo,187761,757,0.4,2007,4
stroitelstwo,191448,910,0.5,2008,1
stroitelstwo,200121,796,0.4,2008,2
stroitelstwo,205134,641,0.3,2008,3
stroitelstwo,190033,361,0.2,2008,4
transport,159680,1886,1.2,2006,1
transport,163889,1363,0.8,2006,2
transport,163265,1851,1.1,2006,3
transport,163622,1780,1.1,2006,4
transport,166999,2985,1.8,2007,1
transport,170804,2480,1.4,2007,2
transport,170036,2200,1.3,2007,3
transport,167221,2355,1.4,2007,4
transport,165543,1965,1.2,2008,1
transport,168596,2232,1.3,2008,2
transport,168579,2156,1.3,2008,3
transport,163358,2191,1.3,2008,4
tyrgowiq,325930,1228,0.4,2006,1
tyrgowiq,341422,981,0.3,2006,2
tyrgowiq,343132,1011,0.3,2006,3
tyrgowiq,350832,940,0.3,2006,4
tyrgowiq,361037,998,0.3,2007,1
tyrgowiq,366619,1556,0.4,2007,2
tyrgowiq,368760,1273,0.3,2007,3
tyrgowiq,381296,1121,0.3,2007,4
tyrgowiq,416009,2053,0.5,2008,1
tyrgowiq,423440,1773,0.4,2008,2
tyrgowiq,434099,1380,0.3,2008,3
tyrgowiq,433924,898,0.2,2008,4
zdraweopazwane,128500,1639,1.3,2006,1
zdraweopazwane,127865,1602,1.2,2006,2
zdraweopazwane,127754,1703,1.3,2006,3
zdraweopazwane,127617,1788,1.4,2006,4
