"time","currency","unit","sizeclas","lcstruct","geo","nace_r1","values"
2008,"EUR","P_SAL_H","GE10","D01","BG","C.O",2.62
2008,"EUR","P_SAL_H","GE10","D02","BG","C.O",NA
2008,"EUR","P_SAL_H","GE10","D111","BG","C.O",2.13
2008,"EUR","P_SAL_H","GE10","D1111","BG","C.O",1.9
2008,"EUR","P_SAL_H","GE10","D112","BG","C.O",NA
2008,"EUR","P_SAL_M","GE10","D01","BG","C.O",383
2008,"EUR","P_SAL_M","GE10","D02","BG","C.O",NA
2008,"EUR","P_SAL_M","GE10","D111","BG","C.O",311
2008,"EUR","P_SAL_M","GE10","D1111","BG","C.O",277
2008,"EUR","P_SAL_M","GE10","D112","BG","C.O",NA
2008,"EUR","P_SAL_Y","GE10","D01","BG","C.O",4591
2008,"EUR","P_SAL_Y","GE10","D02","BG","C.O",NA
2008,"EUR","P_SAL_Y","GE10","D111","BG","C.O",3737
2008,"EUR","P_SAL_Y","GE10","D1111","BG","C.O",3324
2008,"EUR","P_SAL_Y","GE10","D112","BG","C.O",NA
2008,"EUR","TOTAL","GE10","D01","BG","C.O",9036657100
2008,"EUR","TOTAL","GE10","D02","BG","C.O",NA
2008,"EUR","TOTAL","GE10","D111","BG","C.O",7355737991
2008,"EUR","TOTAL","GE10","D1111","BG","C.O",6543645279
2008,"EUR","TOTAL","GE10","D112","BG","C.O",NA
2008,"NAC","P_SAL_H","GE10","D01","BG","C.O",5.12
2008,"NAC","P_SAL_H","GE10","D02","BG","C.O",NA
2008,"NAC","P_SAL_H","GE10","D111","BG","C.O",4.17
2008,"NAC","P_SAL_H","GE10","D1111","BG","C.O",3.71
2008,"NAC","P_SAL_H","GE10","D112","BG","C.O",NA
2008,"NAC","P_SAL_M","GE10","D01","BG","C.O",748
2008,"NAC","P_SAL_M","GE10","D02","BG","C.O",NA
2008,"NAC","P_SAL_M","GE10","D111","BG","C.O",609
2008,"NAC","P_SAL_M","GE10","D1111","BG","C.O",542
2008,"NAC","P_SAL_M","GE10","D112","BG","C.O",NA
2008,"NAC","P_SAL_Y","GE10","D01","BG","C.O",8979
2008,"NAC","P_SAL_Y","GE10","D02","BG","C.O",NA
2008,"NAC","P_SAL_Y","GE10","D111","BG","C.O",7309
2008,"NAC","P_SAL_Y","GE10","D1111","BG","C.O",6502
2008,"NAC","P_SAL_Y","GE10","D112","BG","C.O",NA
2008,"NAC","TOTAL","GE10","D01","BG","C.O",17673893956
2008,"NAC","TOTAL","GE10","D02","BG","C.O",NA
2008,"NAC","TOTAL","GE10","D111","BG","C.O",14386352362
2008,"NAC","TOTAL","GE10","D1111","BG","C.O",12798061436
2008,"NAC","TOTAL","GE10","D112","BG","C.O",NA
2008,"PPS","P_SAL_H","GE10","D01","BG","C.O",6.13
2008,"PPS","P_SAL_H","GE10","D02","BG","C.O",NA
2008,"PPS","P_SAL_H","GE10","D111","BG","C.O",4.99
2008,"PPS","P_SAL_H","GE10","D1111","BG","C.O",4.44
2008,"PPS","P_SAL_H","GE10","D112","BG","C.O",NA
2008,"PPS","P_SAL_M","GE10","D01","BG","C.O",895
2008,"PPS","P_SAL_M","GE10","D02","BG","C.O",NA
2008,"PPS","P_SAL_M","GE10","D111","BG","C.O",729
2008,"PPS","P_SAL_M","GE10","D1111","BG","C.O",648
2008,"PPS","P_SAL_M","GE10","D112","BG","C.O",NA
2008,"PPS","P_SAL_Y","GE10","D01","BG","C.O",10745
2008,"PPS","P_SAL_Y","GE10","D02","BG","C.O",NA
2008,"PPS","P_SAL_Y","GE10","D111","BG","C.O",8746
2008,"PPS","P_SAL_Y","GE10","D1111","BG","C.O",7781
2008,"PPS","P_SAL_Y","GE10","D112","BG","C.O",NA
2008,"PPS","TOTAL","GE10","D01","BG","C.O",21149800163
2008,"PPS","TOTAL","GE10","D02","BG","C.O",NA
2008,"PPS","TOTAL","GE10","D111","BG","C.O",17215701209
2008,"PPS","TOTAL","GE10","D1111","BG","C.O",15315042770
2008,"PPS","TOTAL","GE10","D112","BG","C.O",NA
2008,"EUR","P_SAL_H","GE10","D01","BG","C.O__L",2.56
2008,"EUR","P_SAL_H","GE10","D02","BG","C.O__L",NA
2008,"EUR","P_SAL_H","GE10","D111","BG","C.O__L",2.09
2008,"EUR","P_SAL_H","GE10","D1111","BG","C.O__L",1.86
2008,"EUR","P_SAL_H","GE10","D112","BG","C.O__L",NA
2008,"EUR","P_SAL_M","GE10","D01","BG","C.O__L",375
2008,"EUR","P_SAL_M","GE10","D02","BG","C.O__L",NA
2008,"EUR","P_SAL_M","GE10","D111","BG","C.O__L",306
2008,"EUR","P_SAL_M","GE10","D1111","BG","C.O__L",272
2008,"EUR","P_SAL_M","GE10","D112","BG","C.O__L",NA
2008,"EUR","P_SAL_Y","GE10","D01","BG","C.O__L",4495
2008,"EUR","P_SAL_Y","GE10","D02","BG","C.O__L",NA
2008,"EUR","P_SAL_Y","GE10","D111","BG","C.O__L",3670
2008,"EUR","P_SAL_Y","GE10","D1111","BG","C.O__L",3261
2008,"EUR","P_SAL_Y","GE10","D112","BG","C.O__L",NA
2008,"EUR","TOTAL","GE10","D01","BG","C.O__L",8283742573
2008,"EUR","TOTAL","GE10","D02","BG","C.O__L",NA
2008,"EUR","TOTAL","GE10","D111","BG","C.O__L",6762057490
2008,"EUR","TOTAL","GE10","D1111","BG","C.O__L",6008970382
2008,"EUR","TOTAL","GE10","D112","BG","C.O__L",NA
2008,"NAC","P_SAL_H","GE10","D01","BG","C.O__L",5.02
2008,"NAC","P_SAL_H","GE10","D02","BG","C.O__L",NA
2008,"NAC","P_SAL_H","GE10","D111","BG","C.O__L",4.09
2008,"NAC","P_SAL_H","GE10","D1111","BG","C.O__L",3.64
2008,"NAC","P_SAL_H","GE10","D112","BG","C.O__L",NA
2008,"NAC","P_SAL_M","GE10","D01","BG","C.O__L",733
2008,"NAC","P_SAL_M","GE10","D02","BG","C.O__L",NA
2008,"NAC","P_SAL_M","GE10","D111","BG","C.O__L",598
2008,"NAC","P_SAL_M","GE10","D1111","BG","C.O__L",531
2008,"NAC","P_SAL_M","GE10","D112","BG","C.O__L",NA
2008,"NAC","P_SAL_Y","GE10","D01","BG","C.O__L",8792
2008,"NAC","P_SAL_Y","GE10","D02","BG","C.O__L",NA
2008,"NAC","P_SAL_Y","GE10","D111","BG","C.O__L",7177
2008,"NAC","P_SAL_Y","GE10","D1111","BG","C.O__L",6378
2008,"NAC","P_SAL_Y","GE10","D112","BG","C.O__L",NA
2008,"NAC","TOTAL","GE10","D01","BG","C.O__L",16201343725
2008,"NAC","TOTAL","GE10","D02","BG","C.O__L",NA
2008,"NAC","TOTAL","GE10","D111","BG","C.O__L",13225232038
2008,"NAC","TOTAL","GE10","D1111","BG","C.O__L",11752344274
2008,"NAC","TOTAL","GE10","D112","BG","C.O__L",NA
2008,"PPS","P_SAL_H","GE10","D01","BG","C.O__L",6
2008,"PPS","P_SAL_H","GE10","D02","BG","C.O__L",NA
2008,"PPS","P_SAL_H","GE10","D111","BG","C.O__L",4.9
2008,"PPS","P_SAL_H","GE10","D1111","BG","C.O__L",4.35
2008,"PPS","P_SAL_H","GE10","D112","BG","C.O__L",NA
2008,"PPS","P_SAL_M","GE10","D01","BG","C.O__L",877
2008,"PPS","P_SAL_M","GE10","D02","BG","C.O__L",NA
2008,"PPS","P_SAL_M","GE10","D111","BG","C.O__L",716
2008,"PPS","P_SAL_M","GE10","D1111","BG","C.O__L",636
2008,"PPS","P_SAL_M","GE10","D112","BG","C.O__L",NA
2008,"PPS","P_SAL_Y","GE10","D01","BG","C.O__L",10521
2008,"PPS","P_SAL_Y","GE10","D02","BG","C.O__L",NA
2008,"PPS","P_SAL_Y","GE10","D111","BG","C.O__L",8588
2008,"PPS","P_SAL_Y","GE10","D1111","BG","C.O__L",7632
2008,"PPS","P_SAL_Y","GE10","D112","BG","C.O__L",NA
2008,"PPS","TOTAL","GE10","D01","BG","C.O__L",19387645021
2008,"PPS","TOTAL","GE10","D02","BG","C.O__L",NA
2008,"PPS","TOTAL","GE10","D111","BG","C.O__L",15826224567
