"currency","unit","sizeclas","nace_r2","lcstruct","geo","time","values"
"EUR","P_SAL_H","10-49","B","D01","BG",2012,3.42
"EUR","P_SAL_H","10-49","B","D111","BG",2012,2.84
"EUR","P_SAL_H","10-49","B","D1111","BG",2012,2.59
"EUR","P_SAL_H","10-49","B-E","D01","BG",2012,2.02
"EUR","P_SAL_H","10-49","B-E","D111","BG",2012,1.7
"EUR","P_SAL_H","10-49","B-E","D1111","BG",2012,1.56
"EUR","P_SAL_H","10-49","B-F","D01","BG",2012,2.13
"EUR","P_SAL_H","10-49","B-F","D111","BG",2012,1.8
"EUR","P_SAL_H","10-49","B-F","D1111","BG",2012,1.66
"EUR","P_SAL_H","10-49","B-N","D01","BG",2012,2.6
"EUR","P_SAL_H","10-49","B-N","D111","BG",2012,2.21
"EUR","P_SAL_H","10-49","B-N","D1111","BG",2012,2.06
"EUR","P_SAL_H","10-49","B-S","D01","BG",2012,2.7
"EUR","P_SAL_H","10-49","B-S","D111","BG",2012,2.27
"EUR","P_SAL_H","10-49","B-S","D1111","BG",2012,2.07
"EUR","P_SAL_H","10-49","B-S_X_O","D01","BG",2012,2.64
"EUR","P_SAL_H","10-49","B-S_X_O","D111","BG",2012,2.23
"EUR","P_SAL_H","10-49","B-S_X_O","D1111","BG",2012,2.03
"EUR","P_SAL_H","10-49","B05","D01","BG",2012,NA
"EUR","P_SAL_H","10-49","B05","D111","BG",2012,NA
"EUR","P_SAL_H","10-49","B05","D1111","BG",2012,NA
"EUR","P_SAL_H","10-49","B06","D01","BG",2012,9.74
"EUR","P_SAL_H","10-49","B06","D111","BG",2012,8.7
"EUR","P_SAL_H","10-49","B06","D1111","BG",2012,8.14
"EUR","P_SAL_H","10-49","B07","D01","BG",2012,NA
"EUR","P_SAL_H","10-49","B07","D111","BG",2012,NA
"EUR","P_SAL_H","10-49","B07","D1111","BG",2012,NA
"EUR","P_SAL_H","10-49","B08","D01","BG",2012,3.18
"EUR","P_SAL_H","10-49","B08","D111","BG",2012,2.62
"EUR","P_SAL_H","10-49","B08","D1111","BG",2012,2.38
"EUR","P_SAL_H","10-49","B09","D01","BG",2012,NA
"EUR","P_SAL_H","10-49","B09","D111","BG",2012,NA
"EUR","P_SAL_H","10-49","B09","D1111","BG",2012,NA
"EUR","P_SAL_H","10-49","C","D01","BG",2012,1.94
"EUR","P_SAL_H","10-49","C","D111","BG",2012,1.63
"EUR","P_SAL_H","10-49","C","D1111","BG",2012,1.5
"EUR","P_SAL_H","10-49","C10","D01","BG",2012,1.78
"EUR","P_SAL_H","10-49","C10","D111","BG",2012,1.49
"EUR","P_SAL_H","10-49","C10","D1111","BG",2012,1.38
"EUR","P_SAL_H","10-49","C11","D01","BG",2012,2.28
"EUR","P_SAL_H","10-49","C11","D111","BG",2012,1.92
"EUR","P_SAL_H","10-49","C11","D1111","BG",2012,1.76
"EUR","P_SAL_H","10-49","C12","D01","BG",2012,NA
"EUR","P_SAL_H","10-49","C12","D111","BG",2012,NA
"EUR","P_SAL_H","10-49","C12","D1111","BG",2012,NA
"EUR","P_SAL_H","10-49","C13","D01","BG",2012,1.91
"EUR","P_SAL_H","10-49","C13","D111","BG",2012,1.58
"EUR","P_SAL_H","10-49","C13","D1111","BG",2012,1.45
"EUR","P_SAL_H","10-49","C14","D01","BG",2012,1.49
"EUR","P_SAL_H","10-49","C14","D111","BG",2012,1.24
"EUR","P_SAL_H","10-49","C14","D1111","BG",2012,1.14
"EUR","P_SAL_H","10-49","C15","D01","BG",2012,1.46
"EUR","P_SAL_H","10-49","C15","D111","BG",2012,1.22
"EUR","P_SAL_H","10-49","C15","D1111","BG",2012,1.13
