"unit","wstatus","nace_r2","geo","time","values"
"PC","EMP","A","BG",2013,NA
"PC","EMP","A","BG3",2013,NA
"PC","EMP","A","BG31",2013,NA
"PC","EMP","A","BG311",2013,NA
"PC","EMP","A","BG312",2013,NA
"PC","EMP","A","BG313",2013,NA
"PC","EMP","A","BG314",2013,NA
"PC","EMP","A","BG315",2013,NA
"PC","EMP","A","BG32",2013,NA
"PC","EMP","A","BG321",2013,NA
"PC","EMP","A","BG322",2013,NA
"PC","EMP","A","BG323",2013,NA
"PC","EMP","A","BG324",2013,NA
"PC","EMP","A","BG325",2013,NA
"PC","EMP","A","BG33",2013,NA
"PC","EMP","A","BG331",2013,NA
"PC","EMP","A","BG332",2013,NA
"PC","EMP","A","BG333",2013,NA
"PC","EMP","A","BG334",2013,NA
"PC","EMP","A","BG34",2013,NA
"PC","EMP","A","BG341",2013,NA
"PC","EMP","A","BG342",2013,NA
"PC","EMP","A","BG343",2013,NA
"PC","EMP","A","BG344",2013,NA
"PC","EMP","A","BG4",2013,NA
"PC","EMP","A","BG41",2013,NA
"PC","EMP","A","BG411",2013,NA
"PC","EMP","A","BG412",2013,NA
"PC","EMP","A","BG413",2013,NA
"PC","EMP","A","BG414",2013,NA
"PC","EMP","A","BG415",2013,NA
"PC","EMP","A","BG42",2013,NA
"PC","EMP","A","BG421",2013,NA
"PC","EMP","A","BG422",2013,NA
"PC","EMP","A","BG423",2013,NA
"PC","EMP","A","BG424",2013,NA
"PC","EMP","A","BG425",2013,NA
"PC","EMP","B-E","BG",2013,NA
"PC","EMP","B-E","BG3",2013,NA
"PC","EMP","B-E","BG31",2013,NA
"PC","EMP","B-E","BG311",2013,NA
"PC","EMP","B-E","BG312",2013,NA
"PC","EMP","B-E","BG313",2013,NA
"PC","EMP","B-E","BG314",2013,NA
"PC","EMP","B-E","BG315",2013,NA
"PC","EMP","B-E","BG32",2013,NA
"PC","EMP","B-E","BG321",2013,NA
"PC","EMP","B-E","BG322",2013,NA
"PC","EMP","B-E","BG323",2013,NA
"PC","EMP","B-E","BG324",2013,NA
"PC","EMP","B-E","BG325",2013,NA
"PC","EMP","B-E","BG33",2013,NA
"PC","EMP","B-E","BG331",2013,NA
"PC","EMP","B-E","BG332",2013,NA
"PC","EMP","B-E","BG333",2013,NA
