"unit","sex","nace_r2","worktime","geo","time","values"
"THS","F","A","FT","BG","2015Q2",NA
"THS","F","A","PT","BG","2015Q2",NA
"THS","F","A","TOTAL","BG","2015Q2",NA
"THS","F","B","FT","BG","2015Q2",NA
"THS","F","B","PT","BG","2015Q2",NA
"THS","F","B","TOTAL","BG","2015Q2",NA
"THS","F","C","FT","BG","2015Q2",NA
"THS","F","C","PT","BG","2015Q2",NA
"THS","F","C","TOTAL","BG","2015Q2",NA
"THS","F","D","FT","BG","2015Q2",NA
"THS","F","D","PT","BG","2015Q2",NA
"THS","F","D","TOTAL","BG","2015Q2",NA
"THS","F","E","FT","BG","2015Q2",NA
"THS","F","E","PT","BG","2015Q2",NA
"THS","F","E","TOTAL","BG","2015Q2",NA
"THS","F","F","FT","BG","2015Q2",NA
"THS","F","F","PT","BG","2015Q2",NA
"THS","F","F","TOTAL","BG","2015Q2",NA
"THS","F","G","FT","BG","2015Q2",NA
"THS","F","G","PT","BG","2015Q2",NA
"THS","F","G","TOTAL","BG","2015Q2",NA
"THS","F","H","FT","BG","2015Q2",NA
"THS","F","H","PT","BG","2015Q2",NA
"THS","F","H","TOTAL","BG","2015Q2",NA
"THS","F","I","FT","BG","2015Q2",NA
"THS","F","I","PT","BG","2015Q2",NA
"THS","F","I","TOTAL","BG","2015Q2",NA
"THS","F","J","FT","BG","2015Q2",NA
"THS","F","J","PT","BG","2015Q2",NA
"THS","F","J","TOTAL","BG","2015Q2",NA
"THS","F","K","FT","BG","2015Q2",NA
"THS","F","K","PT","BG","2015Q2",NA
"THS","F","K","TOTAL","BG","2015Q2",NA
"THS","F","L","FT","BG","2015Q2",NA
"THS","F","L","PT","BG","2015Q2",NA
"THS","F","L","TOTAL","BG","2015Q2",NA
"THS","F","M","FT","BG","2015Q2",NA
"THS","F","M","PT","BG","2015Q2",NA
"THS","F","M","TOTAL","BG","2015Q2",NA
"THS","F","N","FT","BG","2015Q2",NA
"THS","F","N","PT","BG","2015Q2",NA
"THS","F","N","TOTAL","BG","2015Q2",NA
"THS","F","O","FT","BG","2015Q2",NA
"THS","F","O","PT","BG","2015Q2",NA
"THS","F","O","TOTAL","BG","2015Q2",NA
"THS","F","P","FT","BG","2015Q2",NA
"THS","F","P","PT","BG","2015Q2",NA
"THS","F","P","TOTAL","BG","2015Q2",NA
"THS","F","Q","FT","BG","2015Q2",NA
"THS","F","Q","PT","BG","2015Q2",NA
"THS","F","Q","TOTAL","BG","2015Q2",NA
"THS","F","R","FT","BG","2015Q2",NA
"THS","F","R","PT","BG","2015Q2",NA
"THS","F","R","TOTAL","BG","2015Q2",NA
"THS","F","S","FT","BG","2015Q2",NA
"THS","F","S","PT","BG","2015Q2",NA
"THS","F","S","TOTAL","BG","2015Q2",NA
"THS","F","T","FT","BG","2015Q2",NA
"THS","F","T","PT","BG","2015Q2",NA
"THS","F","T","TOTAL","BG","2015Q2",NA
"THS","F","TOTAL","FT","BG","2015Q2",NA
"THS","F","TOTAL","PT","BG","2015Q2",NA
"THS","F","TOTAL","TOTAL","BG","2015Q2",NA
"THS","F","U","FT","BG","2015Q2",NA
"THS","F","U","TOTAL","BG","2015Q2",NA
"THS","M","A","FT","BG","2015Q2",NA
"THS","M","A","PT","BG","2015Q2",NA
"THS","M","A","TOTAL","BG","2015Q2",NA
"THS","M","B","FT","BG","2015Q2",NA
"THS","M","B","PT","BG","2015Q2",NA
"THS","M","B","TOTAL","BG","2015Q2",NA
"THS","M","C","FT","BG","2015Q2",NA
"THS","M","C","PT","BG","2015Q2",NA
"THS","M","C","TOTAL","BG","2015Q2",NA
"THS","M","D","FT","BG","2015Q2",NA
"THS","M","D","PT","BG","2015Q2",NA
"THS","M","D","TOTAL","BG","2015Q2",NA
"THS","M","E","FT","BG","2015Q2",NA
"THS","M","E","PT","BG","2015Q2",NA
"THS","M","E","TOTAL","BG","2015Q2",NA
"THS","M","F","FT","BG","2015Q2",NA
"THS","M","F","PT","BG","2015Q2",NA
"THS","M","F","TOTAL","BG","2015Q2",NA
"THS","M","G","FT","BG","2015Q2",NA
"THS","M","G","PT","BG","2015Q2",NA
"THS","M","G","TOTAL","BG","2015Q2",NA
"THS","M","H","FT","BG","2015Q2",NA
"THS","M","H","PT","BG","2015Q2",NA
"THS","M","H","TOTAL","BG","2015Q2",NA
"THS","M","I","FT","BG","2015Q2",NA
"THS","M","I","PT","BG","2015Q2",NA
"THS","M","I","TOTAL","BG","2015Q2",NA
"THS","M","J","FT","BG","2015Q2",NA
"THS","M","J","PT","BG","2015Q2",NA
"THS","M","J","TOTAL","BG","2015Q2",NA
"THS","M","K","FT","BG","2015Q2",NA
"THS","M","K","PT","BG","2015Q2",NA
"THS","M","K","TOTAL","BG","2015Q2",NA
"THS","M","L","FT","BG","2015Q2",NA
"THS","M","L","PT","BG","2015Q2",NA
"THS","M","L","TOTAL","BG","2015Q2",NA
"THS","M","M","FT","BG","2015Q2",NA
"THS","M","M","PT","BG","2015Q2",NA
"THS","M","M","TOTAL","BG","2015Q2",NA
"THS","M","N","FT","BG","2015Q2",NA
"THS","M","N","PT","BG","2015Q2",NA
"THS","M","N","TOTAL","BG","2015Q2",NA
"THS","M","O","FT","BG","2015Q2",NA
"THS","M","O","PT","BG","2015Q2",NA
"THS","M","O","TOTAL","BG","2015Q2",NA
"THS","M","P","FT","BG","2015Q2",NA
"THS","M","P","PT","BG","2015Q2",NA
"THS","M","P","TOTAL","BG","2015Q2",NA
"THS","M","Q","FT","BG","2015Q2",NA
"THS","M","Q","PT","BG","2015Q2",NA
"THS","M","Q","TOTAL","BG","2015Q2",NA
"THS","M","R","FT","BG","2015Q2",NA
"THS","M","R","PT","BG","2015Q2",NA
"THS","M","R","TOTAL","BG","2015Q2",NA
"THS","M","S","FT","BG","2015Q2",NA
"THS","M","S","PT","BG","2015Q2",NA
"THS","M","S","TOTAL","BG","2015Q2",NA
"THS","M","T","FT","BG","2015Q2",NA
"THS","M","T","PT","BG","2015Q2",NA
"THS","M","T","TOTAL","BG","2015Q2",NA
"THS","M","TOTAL","FT","BG","2015Q2",NA
"THS","M","TOTAL","PT","BG","2015Q2",NA
"THS","M","TOTAL","TOTAL","BG","2015Q2",NA
"THS","M","U","FT","BG","2015Q2",NA
"THS","M","U","TOTAL","BG","2015Q2",NA
"THS","T","A","FT","BG","2015Q2",NA
"THS","T","A","PT","BG","2015Q2",NA
"THS","T","A","TOTAL","BG","2015Q2",NA
"THS","T","B","FT","BG","2015Q2",NA
"THS","T","B","PT","BG","2015Q2",NA
"THS","T","B","TOTAL","BG","2015Q2",NA
"THS","T","C","FT","BG","2015Q2",NA
"THS","T","C","PT","BG","2015Q2",NA
"THS","T","C","TOTAL","BG","2015Q2",NA
"THS","T","D","FT","BG","2015Q2",NA
"THS","T","D","PT","BG","2015Q2",NA
"THS","T","D","TOTAL","BG","2015Q2",NA
"THS","T","E","FT","BG","2015Q2",NA
"THS","T","E","PT","BG","2015Q2",NA
"THS","T","E","TOTAL","BG","2015Q2",NA
"THS","T","F","FT","BG","2015Q2",NA
"THS","T","F","PT","BG","2015Q2",NA
"THS","T","F","TOTAL","BG","2015Q2",NA
"THS","T","G","FT","BG","2015Q2",NA
"THS","T","G","PT","BG","2015Q2",NA
"THS","T","G","TOTAL","BG","2015Q2",NA
"THS","T","H","FT","BG","2015Q2",NA
"THS","T","H","PT","BG","2015Q2",NA
"THS","T","H","TOTAL","BG","2015Q2",NA
"THS","T","I","FT","BG","2015Q2",NA
"THS","T","I","PT","BG","2015Q2",NA
"THS","T","I","TOTAL","BG","2015Q2",NA
"THS","T","J","FT","BG","2015Q2",NA
"THS","T","J","PT","BG","2015Q2",NA
"THS","T","J","TOTAL","BG","2015Q2",NA
"THS","T","K","FT","BG","2015Q2",NA
"THS","T","K","PT","BG","2015Q2",NA
"THS","T","K","TOTAL","BG","2015Q2",NA
"THS","T","L","FT","BG","2015Q2",NA
"THS","T","L","PT","BG","2015Q2",NA
"THS","T","L","TOTAL","BG","2015Q2",NA
"THS","T","M","FT","BG","2015Q2",NA
"THS","T","M","PT","BG","2015Q2",NA
"THS","T","M","TOTAL","BG","2015Q2",NA
"THS","T","N","FT","BG","2015Q2",NA
"THS","T","N","PT","BG","2015Q2",NA
"THS","T","N","TOTAL","BG","2015Q2",NA
"THS","T","O","FT","BG","2015Q2",NA
"THS","T","O","PT","BG","2015Q2",NA
"THS","T","O","TOTAL","BG","2015Q2",NA
"THS","T","P","FT","BG","2015Q2",NA
"THS","T","P","PT","BG","2015Q2",NA
"THS","T","P","TOTAL","BG","2015Q2",NA
