sektori,zaplata,year,month
obshto,202,2000,1
obshto,206,2000,2
obshto,220,2000,3
obshto,221,2000,4
obshto,228,2000,5
obshto,225,2000,6
obshto,222,2000,7
obshto,221,2000,8
obshto,234,2000,9
obshto,224,2000,10
obshto,234,2000,11
obshto,248,2000,12
obshto,223,2001,1
obshto,221,2001,2
obshto,232,2001,3
obshto,239,2001,4
obshto,247,2001,5
obshto,247,2001,6
obshto,244,2001,7
obshto,243,2001,8
obshto,251,2001,9
obshto,247,2001,10
obshto,250,2001,11
obshto,264,2001,12
obshto,245,2002,1
obshto,246,2002,2
obshto,257,2002,3
obshto,253,2002,4
obshto,260,2002,5
obshto,257,2002,6
obshto,259,2002,7
obshto,258,2002,8
obshto,265,2002,9
obshto,263,2002,10
obshto,263,2002,11
obshto,273,2002,12
obshto,262,2003,1
obshto,257,2003,2
obshto,273,2003,3
obshto,272,2003,4
obshto,279,2003,5
obshto,273,2003,6
obshto,272,2003,7
obshto,270,2003,8
obshto,283,2003,9
obshto,272,2003,10
obshto,281,2003,11
obshto,298,2003,12
obshto,275,2004,1
obshto,274,2004,2
obshto,288,2004,3
obshto,285,2004,4
obshto,292,2004,5
obshto,287,2004,6
obshto,291,2004,7
obshto,288,2004,8
obshto,300,2004,9
obshto,293,2004,10
obshto,300,2004,11
obshto,318,2004,12
obshto,298,2005,1
obshto,297,2005,2
obshto,314,2005,3
obshto,313,2005,4
obshto,322,2005,5
obshto,317,2005,6
obshto,322,2005,7
obshto,315,2005,8
obshto,329,2005,9
obshto,323,2005,10
obshto,327,2005,11
obshto,347,2005,12
obshto,326,2006,1
obshto,324,2006,2
obshto,343,2006,3
obshto,343,2006,4
obshto,344,2006,5
obshto,343,2006,6
obshto,346,2006,7
obshto,346,2006,8
obshto,360,2006,9
obshto,356,2006,10
obshto,364,2006,11
obshto,392,2006,12
obshto,382,2007,1
obshto,385,2007,2
obshto,401,2007,3
obshto,405,2007,4
obshto,415,2007,5
obshto,412,2007,6
obshto,423,2007,7
obshto,421,2007,8
obshto,436,2007,9
obshto,436,2007,10
obshto,454,2007,11
obshto,480,2007,12
obshto,499,2008,1
obshto,494,2008,2
obshto,521,2008,3
obshto,546,2008,4
obshto,527,2008,5
obshto,539,2008,6
obshto,534,2008,7
obshto,531,2008,8
obshto,557,2008,9
obshto,558,2008,10
obshto,564,2008,11
obshto,590,2008,12
obshto,575,2009,1
obshto,570,2009,2
obshto,599,2009,3
obshto,610,2009,4
obshto,601,2009,5
obshto,602,2009,6
obshto,598,2009,7
obshto,593,2009,8
obshto,611,2009,9
obshto,609,2009,10
obshto,616,2009,11
obshto,643,2009,12
obshto,614,2010,1
obshto,613,2010,2
obshto,639,2010,3
obshto,646,2010,4
obshto,643,2010,5
obshto,639,2010,6
obshto,640,2010,7
obshto,633,2010,8
obshto,652,2010,9
obshto,655,2010,10
obshto,673,2010,11
obshto,698,2010,12
obshto,661,2011,1
obshto,661,2011,2
obshto,686,2011,3
obshto,708,2011,4
obshto,696,2011,5
obshto,689,2011,6
obshto,690,2011,7
obshto,683,2011,8
obshto,702,2011,9
obshto,707,2011,10
obshto,724,2011,11
obshto,755,2011,12
obshto,701,2012,1
obshto,701,2012,2
obshto,731,2012,3
obshto,740,2012,4
obshto,736,2012,5
obshto,731,2012,6
obshto,729,2012,7
obshto,723,2012,8
obshto,743,2012,9
obshto,754,2012,10
obshto,756,2012,11
obshto,786,2012,12
obshto,747,2013,1
obshto,740,2013,2
obshto,770,2013,3
obshto,781,2013,4
obshto,775,2013,5
obshto,763,2013,6
obshto,775,2013,7
obshto,755,2013,8
obshto,780,2013,9
obshto,795,2013,10
obshto,795,2013,11
obshto,822,2013,12
obshto,794,2014,1
obshto,780,2014,2
obshto,813,2014,3
obshto,834,2014,4
obshto,816,2014,5
obshto,802,2014,6
obshto,815,2014,7
obshto,793,2014,8
obshto,820,2014,9
obshto,841,2014,10
obshto,833,2014,11
obshto,865,2014,12
obshtestwen,221,2000,1
obshtestwen,222,2000,2
obshtestwen,243,2000,3
obshtestwen,244,2000,4
obshtestwen,258,2000,5
obshtestwen,251,2000,6
obshtestwen,248,2000,7
obshtestwen,247,2000,8
obshtestwen,272,2000,9
obshtestwen,248,2000,10
obshtestwen,266,2000,11
obshtestwen,285,2000,12
obshtestwen,257,2001,1
obshtestwen,254,2001,2
obshtestwen,271,2001,3
obshtestwen,282,2001,4
obshtestwen,301,2001,5
obshtestwen,296,2001,6
obshtestwen,287,2001,7
obshtestwen,284,2001,8
obshtestwen,307,2001,9
obshtestwen,287,2001,10
obshtestwen,294,2001,11
obshtestwen,316,2001,12
obshtestwen,282,2002,1
obshtestwen,285,2002,2
obshtestwen,304,2002,3
obshtestwen,298,2002,4
obshtestwen,318,2002,5
obshtestwen,311,2002,6
obshtestwen,309,2002,7
obshtestwen,312,2002,8
obshtestwen,328,2002,9
obshtestwen,321,2002,10
obshtestwen,319,2002,11
obshtestwen,332,2002,12
obshtestwen,308,2003,1
obshtestwen,298,2003,2
obshtestwen,324,2003,3
obshtestwen,317,2003,4
obshtestwen,340,2003,5
obshtestwen,327,2003,6
obshtestwen,326,2003,7
obshtestwen,324,2003,8
obshtestwen,352,2003,9
obshtestwen,326,2003,10
obshtestwen,344,2003,11
