sektori,zaplata,year,trimesechie
obshto,209,2000,1
selsko,162,2000,1
dobiwna,351,2000,1
prerabodwashta,206,2000,1
energiq i woda,420,2000,1
stroitelstwo,180,2000,1
tyrgowiq,177,2000,1
hoteli,143,2000,1
transport,258,2000,1
finansi,377,2000,1
imoti,218,2000,1
dyrvawnouprawlenie,245,2000,1
obrazowanie,172,2000,1
zdraweopazwane,163,2000,1
drugi,165,2000,1
obshto,224,2000,2
selsko,177,2000,2
dobiwna,360,2000,2
prerabodwashta,216,2000,2
energiq i woda,435,2000,2
stroitelstwo,199,2000,2
tyrgowiq,183,2000,2
hoteli,159,2000,2
transport,271,2000,2
finansi,436,2000,2
imoti,230,2000,2
dyrvawnouprawlenie,265,2000,2
obrazowanie,208,2000,2
zdraweopazwane,175,2000,2
drugi,189,2000,2
obshto,226,2000,3
selsko,185,2000,3
dobiwna,373,2000,3
prerabodwashta,223,2000,3
energiq i woda,426,2000,3
stroitelstwo,208,2000,3
tyrgowiq,180,2000,3
hoteli,144,2000,3
transport,274,2000,3
finansi,430,2000,3
imoti,239,2000,3
dyrvawnouprawlenie,284,2000,3
obrazowanie,193,2000,3
zdraweopazwane,175,2000,3
drugi,192,2000,3
obshto,235,2000,4
selsko,184,2000,4
dobiwna,388,2000,4
prerabodwashta,225,2000,4
energiq i woda,444,2000,4
stroitelstwo,218,2000,4
tyrgowiq,187,2000,4
hoteli,141,2000,4
transport,282,2000,4
finansi,473,2000,4
imoti,258,2000,4
dyrvawnouprawlenie,299,2000,4
obrazowanie,209,2000,4
zdraweopazwane,200,2000,4
drugi,185,2000,4
obshto,225,2001,1
selsko,175,2001,1
dobiwna,377,2001,1
prerabodwashta,221,2001,1
energiq i woda,428,2001,1
stroitelstwo,185,2001,1
tyrgowiq,165,2001,1
hoteli,146,2001,1
transport,275,2001,1
finansi,425,2001,1
imoti,212,2001,1
dyrvawnouprawlenie,288,2001,1
obrazowanie,203,2001,1
zdraweopazwane,200,2001,1
drugi,176,2001,1
obshto,244,2001,2
selsko,186,2001,2
dobiwna,391,2001,2
prerabodwashta,229,2001,2
energiq i woda,447,2001,2
