sektori,zaplata,year,trimesechie
obshto,209,2000,1
obshto,224,2000,2
obshto,226,2000,3
obshto,235,2000,4
obshto,225,2001,1
obshto,244,2001,2
obshto,246,2001,3
obshto,254,2001,4
obshto,249,2002,1
obshto,256,2002,2
obshto,261,2002,3
obshto,267,2002,4
obshto,264,2003,1
obshto,275,2003,2
obshto,275,2003,3
obshto,284,2003,4
obshto,279,2004,1
obshto,288,2004,2
obshto,293,2004,3
obshto,304,2004,4
obshto,303,2005,1
obshto,317,2005,2
obshto,322,2005,3
obshto,332,2005,4
obshto,331,2006,1
obshto,343,2006,2
obshto,351,2006,3
obshto,371,2006,4
obshto,389,2007,1
obshto,411,2007,2
obshto,427,2007,3
obshto,456,2007,4
obshto,505,2008,1
obshto,537,2008,2
obshto,541,2008,3
obshto,571,2008,4
obshto,581,2009,1
obshto,604,2009,2
obshto,600,2009,3
obshto,622,2009,4
obshto,622,2010,1
obshto,643,2010,2
obshto,642,2010,3
obshto,675,2010,4
obshto,669,2011,1
obshto,698,2011,2
obshto,691,2011,3
obshto,728,2011,4
obshto,711,2012,1
obshto,736,2012,2
obshto,732,2012,3
obshto,765,2012,4
obshto,752,2013,1
obshto,773,2013,2
obshto,770,2013,3
obshto,804,2013,4
obshto,796,2014,1
obshto,817,2014,2
obshto,809,2014,3
obshto,847,2014,4
obshtestwen,229,2000,1
obshtestwen,251,2000,2
obshtestwen,256,2000,3
obshtestwen,266,2000,4
obshtestwen,261,2001,1
obshtestwen,293,2001,2
obshtestwen,293,2001,3
obshtestwen,299,2001,4
obshtestwen,291,2002,1
obshtestwen,309,2002,2
obshtestwen,317,2002,3
obshtestwen,324,2002,4
obshtestwen,310,2003,1
obshtestwen,328,2003,2
obshtestwen,334,2003,3
obshtestwen,346,2003,4
obshtestwen,332,2004,1
obshtestwen,346,2004,2
obshtestwen,358,2004,3
obshtestwen,373,2004,4
obshtestwen,370,2005,1
obshtestwen,394,2005,2
obshtestwen,399,2005,3
obshtestwen,408,2005,4
obshtestwen,395,2006,1
obshtestwen,423,2006,2
obshtestwen,435,2006,3
obshtestwen,458,2006,4
obshtestwen,449,2007,1
obshtestwen,484,2007,2
obshtestwen,513,2007,3
obshtestwen,561,2007,4
obshtestwen,560,2008,1
obshtestwen,601,2008,2
obshtestwen,644,2008,3
obshtestwen,704,2008,4
obshtestwen,671,2009,1
obshtestwen,704,2009,2
obshtestwen,698,2009,3
obshtestwen,735,2009,4
obshtestwen,712,2010,1
obshtestwen,730,2010,2
obshtestwen,730,2010,3
obshtestwen,775,2010,4
obshtestwen,721,2011,1
obshtestwen,755,2011,2
obshtestwen,749,2011,3
obshtestwen,806,2011,4
obshtestwen,747,2012,1
obshtestwen,784,2012,2
obshtestwen,787,2012,3
obshtestwen,838,2012,4
obshtestwen,789,2013,1
obshtestwen,825,2013,2
obshtestwen,827,2013,3
obshtestwen,889,2013,4
obshtestwen,845,2014,1
obshtestwen,886,2014,2
obshtestwen,875,2014,3
obshtestwen,933,2014,4
chasten,191,2000,1
chasten,201,2000,2
chasten,203,2000,3
chasten,211,2000,4
chasten,198,2001,1
chasten,212,2001,2
chasten,215,2001,3
chasten,223,2001,4
chasten,221,2002,1
chasten,223,2002,2
chasten,227,2002,3
chasten,231,2002,4
chasten,235,2003,1
chasten,242,2003,2
chasten,240,2003,3
chasten,248,2003,4
chasten,248,2004,1
chasten,255,2004,2
chasten,260,2004,3
chasten,268,2004,4
chasten,271,2005,1
chasten,281,2005,2
chasten,288,2005,3
chasten,298,2005,4
chasten,302,2006,1
chasten,309,2006,2
chasten,316,2006,3
chasten,335,2006,4
chasten,366,2007,1
chasten,382,2007,2
chasten,394,2007,3
chasten,416,2007,4
chasten,485,2008,1
chasten,515,2008,2
chasten,507,2008,3
chasten,527,2008,4
chasten,551,2009,1
chasten,570,2009,2
chasten,567,2009,3
chasten,584,2009,4
chasten,591,2010,1
chasten,613,2010,2
chasten,613,2010,3
chasten,642,2010,4
chasten,652,2011,1
chasten,678,2011,2
chasten,673,2011,3
chasten,701,2011,4
chasten,699,2012,1
chasten,720,2012,2
chasten,713,2012,3
chasten,740,2012,4
chasten,739,2013,1
chasten,755,2013,2
chasten,751,2013,3
chasten,775,2013,4
chasten,778,2014,1
chasten,794,2014,2
chasten,788,2014,3
chasten,817,2014,4
